,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,total
1980,1819959,1697003,1641032,1656800,1599421,1627209,1590999,1660137,1702308,1910761,1908606,1840223,1800779,1848204,1915400,2038599,2130433,2161643,2142172,2256718,2193229,2151134,2142121,2133812,2082048,2062276,2000848,1963195,1837856,1928399,1844488,1794918,1796718,1905234,1430137,1430371,1417849,1501175,1293432,1274861,1219779,1162220,1150723,1104484,1101925,1078175,1059328,1071786,1043934,1117992,1130320,1106597,1128210,1127032,1124155,1119824,1106424,1098356,1084688,1068621,1021278,969148,927024,900452,879452,862694,816708,787301,743285,705800,657413,615889,579817,524287,494175,450828,407457,368217,333174,302394,262589,225823,198428,180549,158816,137321,118289,98712,80441,64320,50336,38902,29572,21862,15758,11106,7690,5205,3485,2409,3244,110398730
1981,1845697,1757899,1693434,1666984,1676077,1599336,1631031,1620089,1606578,1757431,1950989,1887204,1837136,1813799,1862532,1931498,2039883,2139132,2114682,2219494,2240640,2157024,2142732,2146327,2171172,2098067,2053866,2022339,1888790,1986307,1914448,1801463,1808784,1773696,1970415,1409659,1406758,1422143,1461956,1360954,1273686,1175594,1168453,1155887,1116413,1081053,1095174,1071720,1013276,1086767,1107702,1102024,1101086,1139123,1128386,1086201,1106673,1120293,1044415,1085913,1062928,994121,920673,928482,900385,864906,822067,796780,752597,719835,670764,629391,590133,536570,506181,463599,419043,378617,340792,308751,268088,231064,203255,183544,161550,134699,117771,100443,82144,66906,52083,40164,30715,23324,17075,11711,8120,5648,3716,2329,3684,111502932
1982,1863698,1785996,1755756,1717396,1686569,1675690,1602374,1657479,1566118,1665080,1791596,1926501,1882801,1849213,1827229,1877750,1934125,2052828,2096078,2192371,2203476,2202593,2142616,2143712,2184982,2182810,2088189,2073895,1940734,2043104,1966024,1866854,1812869,1784315,1836266,1936804,1385894,1411222,1378821,1545834,1354748,1229115,1181155,1170723,1171741,1095012,1092311,1106646,1013076,1061281,1074090,1077944,1095978,1110677,1141720,1090186,1075581,1119267,1062343,1051313,1075375,1035118,947893,922297,928190,883432,826637,803904,759744,731507,684652,643271,601112,549664,518832,476265,431096,390303,350879,315784,274795,237512,208777,188156,165031,138443,115720,100221,83849,69284,53743,41775,32440,24705,18459,12840,8805,6154,4129,2624,3423,112579409
1983,1867842,1806495,1784618,1777030,1737493,1685561,1677322,1625218,1600616,1629348,1694562,1767319,1920896,1894411,1861434,1841536,1881381,1950631,2015686,2183824,2184736,2172377,2185733,2143074,2184256,2193217,2171377,2108278,1986364,2102825,2018023,1916645,1876864,1789378,1848142,1808220,1899472,1392382,1363232,1469385,1532862,1309599,1235027,1181026,1190854,1149108,1101197,1103605,1045653,1067684,1046357,1043548,1071764,1104563,1114944,1102796,1082116,1086512,1058599,1075317,1037117,1047506,991340,949057,922262,907341,846701,809868,763839,740038,695130,656880,611638,562947,531733,488639,442350,401778,361371,324947,280870,244519,214984,192055,169425,142392,118882,98062,82960,71351,54812,42758,34051,26462,19561,13590,9721,6795,4586,3180,3164,113646996
1984,1827580,1814369,1807001,1803180,1798167,1736786,1686787,1698460,1568656,1672566,1656180,1670826,1763061,1933101,1906975,1876526,1847347,1902548,1914222,2102844,2174402,2153429,2150675,2180344,2183804,2189331,2181376,2190884,2015327,2157255,2073032,1967159,1925884,1853687,1855953,1820993,1774095,1906794,1341576,1463703,1452591,1484029,1315985,1232628,1204999,1167637,1150314,1112044,1042828,1109661,1050865,1014988,1037068,1079508,1110140,1076693,1097101,1091905,1024643,1077295,1056018,1009979,1007339,992613,948390,898438,870571,831355,766951,745870,702755,667056,621567,575846,544936,501616,452940,412498,371677,334281,289391,250579,221582,196646,172718,146985,122214,100740,80274,70635,55584,43079,34842,27968,20903,13897,10052,7538,5103,3785,3243,114670261
1985,1882257,1779251,1817388,1822821,1825241,1798198,1737754,1705710,1639115,1647363,1697509,1632011,1667123,1775476,1946450,1923034,1884280,1872855,1871551,2001312,2092501,2139309,2125270,2143938,2222091,2185216,2177408,2200609,2090937,2194315,2122324,2020310,1975778,1902881,1923177,1830410,1785217,1785162,1828149,1448609,1443074,1409426,1491011,1311041,1261877,1182071,1163484,1161170,1050940,1114456,1088450,1018253,1008091,1043501,1086126,1071566,1073630,1106049,1027066,1048483,1052845,1028611,975370,1008397,991946,920579,864505,856847,786160,752289,708533,674891,628331,588445,558247,515586,465081,422828,381554,343887,298159,259603,227259,201516,176646,150549,126414,103982,82298,68463,53822,43319,35189,28809,22145,14463,10035,7678,5584,4197,4397,115729534
1986,1893241,1835834,1784171,1830662,1845681,1825479,1798421,1754430,1644732,1727499,1668541,1671127,1628340,1679012,1788169,1963025,1932640,1914256,1840038,1956829,1996536,2068243,2110505,2119926,2190433,2221184,2175405,2198604,2097417,2280296,2153845,2068824,2028368,1953685,1976462,1898872,1793950,1797893,1705262,1988765,1428424,1402891,1416884,1481358,1346239,1238085,1171855,1173720,1096868,1129078,1089934,1052275,1010292,1013311,1050703,1047750,1070368,1081073,1037266,1056685,1020308,1025401,997039,976113,1007581,959249,886836,852011,807024,773836,714563,680522,632384,597690,570767,529234,477747,434639,390726,353005,307301,268728,236022,205290,180713,154402,129315,108035,85108,71073,51211,41434,35613,29402,22869,15033,10306,7604,5542,4924,6898,116865159
1987,1894817,1850092,1842904,1794476,1854258,1846700,1825219,1812782,1691020,1742641,1748481,1641948,1667074,1640422,1691577,1804746,1974512,1967777,1883124,1929245,1954505,1974026,2033408,2097596,2160795,2182527,2206160,2192048,2089190,2290412,2232278,2097211,2073821,2004956,2030331,1950739,1859073,1808534,1710554,1871308,1944996,1390547,1410129,1404873,1526128,1320935,1221409,1181182,1108328,1186268,1102020,1051897,1044076,1014850,1021390,1013289,1048907,1076715,1011343,1073670,1024275,993776,998294,997755,975680,971271,926358,875706,800260,796830,736428,687546,635025,604940,580312,542437,490662,447633,402038,361697,316436,278865,245372,212744,184009,158689,132401,110707,88823,74925,52899,39004,34157,30352,23525,15287,10636,7709,5331,4923,8853,117960809
1988,1921656,1856284,1860612,1851411,1819425,1856991,1846815,1837517,1747411,1799745,1760159,1719413,1639134,1680028,1654030,1709141,1819139,2016509,1939780,1982760,1929830,1935690,1939214,2020854,2139469,2149671,2167496,2221584,2077772,2286064,2235138,2171961,2100766,2051021,2085686,2004832,1908866,1874962,1714183,1889748,1824638,1896171,1399319,1396629,1453031,1496128,1297744,1230323,1115442,1207306,1155235,1062499,1043504,1048077,1024792,984664,1016288,1054546,1004420,1053208,1035615,997940,971480,998713,997198,937508,939387,916458,819592,792965,757770,709690,638853,610374,587293,551994,502117,460160,413924,371991,324212,288280,254897,219811,190366,161412,135164,112906,90412,78939,55143,39953,31669,28758,24357,15380,10688,7854,5160,4702,7722,119085538
1989,1972743,1885113,1868697,1865412,1876896,1822061,1855974,1855559,1769440,1867371,1815227,1729737,1715460,1651978,1693423,1671307,1724824,1863701,1987095,2045844,1985377,1913657,1898401,1925157,2061682,2122834,2133498,2181356,2100929,2281122,2225433,2174249,2172932,2078537,2135533,2060975,1961026,1927451,1773258,1909501,1837266,1783341,1905080,1385272,1448244,1424673,1462878,1306371,1162391,1222046,1171981,1112010,1053202,1047136,1058974,987533,989356,1020543,980975,1052169,1012013,1009834,980136,971933,998365,955284,908921,931259,855612,814900,754756,732227,658325,618475,594013,560445,511231,472377,426669,384214,335173,297598,265010,228050,197346,168523,137533,115577,92164,81234,58034,42083,33086,26608,22668,15811,10890,8078,5300,4635,8914,120277515
