,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,total
2000,1881822,1856084,1856028,1868411,1905329,1935394,1953990,1994375,2034171,2066565,2104606,2024968,1992676,1968495,1972309,1975945,1930536,1955285,1978529,2014637,2005616,1900333,1842418,1822223,1779224,1841961,1797109,1854768,1955402,2083133,2122669,2014471,1987857,2004450,2065746,2216600,2268388,2271871,2282651,2318241,2354123,2274313,2278710,2263146,2181264,2188420,2109380,2047037,1981820,1939477,1933735,1869897,1857375,1947877,1467178,1465581,1451658,1504630,1338007,1248733,1218334,1162793,1148255,1089580,1077244,1085306,1003753,1013867,1010761,1011745,1035444,988614,994611,977727,953498,953983,916568,866263,843792,801131,753040,661144,629452,564938,522953,3026561,143719004
2001,1962905,1882601,1857181,1857443,1871311,1909212,1937940,1958002,1998184,2040960,2087011,2117318,2040841,2006423,1979876,1987434,1992853,1947338,1977996,2003276,2034401,2025446,1916731,1860062,1840310,1800155,1858168,1814890,1867542,1962358,2096477,2128146,2026967,1998254,2014086,2075753,2225186,2274547,2277958,2288066,2322098,2358452,2276695,2281350,2262324,2180011,2188271,2109830,2046074,1981763,1937183,1933991,1867556,1855738,1946664,1464238,1463829,1447922,1500388,1333019,1241416,1213556,1156768,1141614,1080816,1068644,1075042,993065,1001409,996458,994877,1018307,969044,972997,953283,925789,925212,885017,833703,808438,762992,714199,622491,588776,523116,3051430,145077463
2002,1932939,1960195,1883190,1859439,1861887,1876401,1911028,1943048,1962016,2007242,2072652,2095934,2134909,2052880,2015047,1996259,2004322,2007233,1971434,2002631,2018607,2051942,2036887,1931984,1876825,1862425,1813125,1876960,1824836,1871240,1981699,2098098,2146046,2036914,2007436,2024887,2083908,2230362,2280768,2283521,2291233,2326545,2360011,2279943,2278277,2260411,2180913,2189603,2107972,2046892,1978124,1939473,1930904,1867431,1855880,1940351,1463840,1459583,1444145,1494071,1323400,1238720,1207560,1150553,1131435,1073097,1058192,1064068,981106,987351,978995,979452,997815,948338,948244,924736,899159,893289,852413,799095,769357,725072,672556,582764,545663,3077446,146394634
2003,1942634,1926719,1959311,1885740,1864923,1867683,1877108,1916822,1946758,1972876,2049649,2077602,2114378,2144999,2058247,2032351,2012581,2015547,2032257,1993831,2010652,2031746,2057360,2048153,1945812,1898603,1870192,1831742,1882450,1824117,1894832,1979254,2120394,2154626,2044712,2018457,2031827,2087581,2236167,2286069,2285662,2296230,2326876,2363514,2274320,2275557,2262137,2183207,2186886,2109478,2041746,1982259,1935134,1931805,1868710,1848350,1941139,1458769,1456110,1437588,1481214,1322858,1232608,1201532,1139251,1124059,1062639,1048005,1051571,967432,969166,964958,959437,977035,923900,919089,899842,868089,861328,817634,760319,732492,683447,630578,540339,3127975,147679036
2004,1962216,1932894,1925324,1962287,1892670,1871767,1867533,1883869,1920442,1959620,2026099,2050854,2097086,2122487,2147180,2076760,2048548,2021150,2041748,2054587,1998909,2024168,2035635,2069230,2062699,1970554,1904276,1890889,1835016,1878345,1853220,1889889,2006472,2129110,2162454,2057123,2025428,2034825,2093890,2242054,2287941,2291770,2296066,2331007,2355630,2271294,2278419,2265496,2179769,2189528,2102958,2048324,1976684,1937112,1934545,1859415,1850723,1933353,1455355,1449103,1423305,1482907,1316213,1226632,1188741,1132615,1112641,1052462,1035666,1037034,948585,956125,944588,939444,951203,894247,895466,868370,837128,826108,777143,724777,689937,641326,584240,3166584,148977286
2005,1956682,1950494,1932337,1930395,1971897,1901483,1871697,1876179,1888355,1936186,2024518,2024711,2072265,2104267,2122621,2168521,2094194,2055847,2050714,2065513,2055521,2011168,2024927,2046870,2084320,2090577,1973649,1927615,1891577,1829126,1914556,1845744,1921927,2015588,2137339,2176855,2064403,2028122,2041731,2100509,2244129,2295371,2291530,2301346,2321347,2352677,2276013,2283353,2261293,2183752,2181791,2112391,2041805,1980116,1941338,1923637,1863943,1842786,1929365,1448128,1433435,1428216,1475790,1310319,1212791,1183371,1121292,1102944,1040489,1021404,1016272,937061,935793,925511,914432,920144,872922,864332,838488,803370,785122,742630,683339,648391,595097,3249455,150319521
2006,1975919,1942541,1950420,1939447,1942684,1982961,1901451,1882266,1881597,1906898,2012412,2020446,2048001,2078526,2102559,2146323,2187586,2100214,2088493,2074677,2063126,2067384,2009498,2036060,2062716,2115632,2090828,1999674,1925997,1882291,1870844,1903298,1882413,1931252,2024111,2153617,2184485,2066577,2035923,2048846,2102820,2252637,2294736,2297856,2290114,2318320,2359182,2282479,2278808,2266666,2175011,2194302,2104762,2046556,1985489,1928603,1930335,1855370,1839667,1919090,1430756,1441590,1422085,1469890,1294668,1208196,1171707,1112106,1090864,1026329,1000140,1005603,917086,917734,900873,884121,900407,842943,835874,805791,763565,752401,701199,643892,602492,3347539,151732647
2007,2027181,1958096,1942309,1958867,1953816,1955007,1981981,1913487,1887870,1902338,1992946,2005151,2044995,2052707,2074283,2127798,2165619,2191076,2135140,2111693,2067209,2072600,2060669,2018612,2051073,2094993,2111654,2118406,1992509,1911697,1929353,1855504,1944828,1890567,1939082,2040888,2160312,2184832,2074052,2042755,2050266,2111306,2251520,2301759,2284312,2286767,2325773,2367220,2277094,2285359,2256393,2189912,2185395,2110678,2053371,1970420,1936853,1920539,1852510,1829151,1893411,1441286,1435809,1417309,1451383,1290637,1195702,1162703,1099908,1075855,1003987,990705,983890,899567,892848,870058,866442,869410,815742,803572,765528,732857,710665,661644,598573,3446309,153166353
2008,2022889,2005602,1957878,1952383,1975431,1968133,1953618,1995829,1919626,1911282,1999441,1982889,2031304,2048464,2046376,2101218,2147828,2167548,2230353,2158201,2099954,2075396,2062511,2068397,2033308,2084941,2087875,2141001,2106335,1973380,1964887,1909543,1900958,1952623,1897868,1956588,2047585,2159900,2192623,2081113,2043855,2058913,2109888,2259139,2286129,2280805,2295486,2334953,2360935,2284804,2273904,2274367,2179899,2192990,2119393,2035932,1980548,1926122,1918225,1841411,1802265,1911784,1435908,1431620,1397948,1448356,1277374,1186870,1150404,1084904,1051554,995703,968816,965653,874610,861340,854043,836424,842232,784458,762902,736191,692151,671398,615304,3533026,154604015
2009,1959169,1997919,2005270,1969393,1970678,1991556,1966642,1968502,2002104,1945940,2019572,1986140,2010144,2033250,2039626,2074716,2121530,2147758,2208513,2252054,2141586,2106392,2060876,2068493,2082066,2068547,2074481,2118250,2124289,2081304,2033069,1940091,1960227,1907798,1959374,1915747,1962556,2046428,2167821,2199617,2081313,2052619,2056603,2117558,2241348,2282194,2290719,2305711,2327859,2370091,2271859,2294505,2262914,2188666,2203336,2099236,2048144,1968595,1924101,1906141,1811564,1823104,1905712,1432316,1410628,1396005,1433620,1268698,1174695,1134860,1059376,1044260,973444,951400,938799,842856,847071,824353,810924,810576,744268,735205,695764,654726,624897,3631954,155964075
2010,1933934,1934838,2000309,2021411,1992143,1990447,1991820,1984199,1975972,2032912,2062935,2001448,2012318,2008944,2020977,2067697,2093291,2118549,2188329,2228451,2229061,2146372,2087825,2066133,2082208,2119685,2055815,2106489,2099295,2096164,2150004,2004584,1995954,1966275,1913590,1977636,1920400,1960032,2053479,2174056,2198149,2089814,2048898,2063929,2098982,2236831,2292670,2301210,2297195,2337435,2354506,2293476,2281039,2271364,2198708,2179070,2111324,2033496,1965175,1909946,1871825,1834480,1816658,1897023,1408579,1408678,1380498,1422595,1254194,1157362,1106291,1052172,1019632,955364,923842,903727,829441,816988,799359,780350,768278,717881,694530,658341,608822,3725588,157241696
