,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,total
2000,1974134,1942607,1944116,1952707,1997055,2032440,2050345,2097092,2130700,2168780,2213934,2126985,2092056,2066123,2075544,2088733,2052755,2093094,2101077,2104364,2095670,1993520,1928772,1900229,1848662,1905777,1846928,1892865,1991941,2110379,2175073,2048286,2011411,2014667,2079604,2229957,2260596,2251740,2264584,2286224,2342182,2238985,2243745,2213710,2127813,2146851,2045796,1978294,1916575,1865877,1866324,1793558,1780544,1868259,1394700,1388812,1365672,1409060,1242476,1151308,1119568,1067425,1042104,979869,957957,954031,873031,869025,857003,845387,848854,799703,787324,757651,716602,695724,651889,606473,573878,528918,476213,404997,372852,319064,279887,1235911,138443407
2001,2049753,1972806,1942915,1945267,1956035,2000821,2034568,2054047,2101358,2138270,2190238,2227595,2143114,2106768,2079494,2096444,2115451,2081398,2124855,2129239,2122324,2107865,2002585,1938492,1909070,1859564,1909984,1853810,1898587,1994289,2121783,2174543,2055935,2016658,2019326,2085387,2232492,2260101,2251371,2265057,2284503,2342019,2237740,2242083,2208570,2121944,2143311,2042517,1972847,1912415,1858963,1862989,1786849,1775276,1862076,1386854,1383009,1357485,1399744,1232487,1138884,1110151,1056502,1030410,966203,943626,938399,857420,851383,836787,822982,826369,774723,760633,728731,685103,663891,618080,572230,537950,491840,439939,370580,338416,285856,1261064,139891492
2002,2018522,2044479,1972924,1944897,1950720,1960786,2002026,2039312,2058954,2111604,2171164,2199786,2245442,2156145,2117462,2101617,2122639,2141357,2112882,2149996,2140289,2130736,2108849,2004943,1942703,1916744,1856790,1914753,1857165,1897302,2012465,2112815,2184931,2058617,2019285,2025303,2084490,2229027,2258080,2250872,2260679,2284301,2339185,2235579,2233678,2200968,2120188,2140507,2035358,1969476,1902885,1857726,1854284,1782978,1770221,1847760,1382872,1374045,1348687,1387713,1217335,1131638,1098596,1045297,1015731,952282,928349,922458,840036,831542,813765,802655,800131,749112,731547,696076,655316,629601,583772,537004,499953,455626,402497,337181,303734,1291362,141230559
2003,2033237,2009420,2043525,1974987,1951950,1955885,1960653,2007360,2044317,2071389,2155393,2176445,2218609,2256394,2163637,2140303,2126560,2144766,2169578,2129392,2146225,2135808,2117934,2099624,1998374,1943865,1901518,1856904,1912388,1849806,1918704,1994472,2124673,2182673,2057870,2024193,2020135,2077426,2225884,2256420,2243727,2260614,2279589,2335874,2223641,2224414,2200290,2117276,2131053,2032378,1957066,1903885,1846875,1851585,1778213,1753341,1844529,1372827,1365498,1336406,1368194,1212101,1119523,1087611,1029496,1001903,937277,913146,904419,820345,808170,795334,776914,774554,720651,698219,667787,621701,595667,548486,499405,464268,417522,367149,303077,1338201,142428897
2004,2052042,2020169,2008411,2045933,1983939,1957840,1954556,1966777,2012719,2059114,2125852,2156867,2196464,2227712,2261079,2188103,2165214,2146158,2172313,2187971,2132862,2156023,2137442,2123444,2105148,2010965,1933949,1910787,1862479,1909795,1884720,1901095,2017316,2128284,2186941,2069933,2023152,2017065,2080137,2231042,2252988,2248606,2258953,2279113,2323552,2215272,2227648,2199700,2107717,2130419,2018146,1961738,1891504,1845760,1847897,1758586,1753133,1830349,1364399,1352760,1315754,1365695,1199144,1108921,1070816,1015816,986009,922625,895181,883380,796318,791222,769205,752487,744927,686874,671287,633496,588554,559869,509590,464757,425169,381825,329740,1379299,143828012
2005,2047711,2036538,2020295,2012820,2058231,1991645,1956456,1962661,1973522,2030883,2125604,2124517,2178897,2204584,2230595,2288448,2213951,2183662,2174412,2190952,2185676,2139490,2151169,2136786,2124028,2115519,1993073,1942425,1913949,1857200,1952025,1859850,1926111,2019457,2131340,2200202,2066098,2016811,2018877,2085045,2226254,2258597,2245748,2258382,2264181,2314057,2220792,2228342,2188567,2108325,2113557,2026203,1947260,1891790,1842482,1824610,1761297,1739222,1819296,1350936,1330174,1316923,1351274,1188493,1090862,1057487,1000448,971691,904790,874711,857454,781306,765167,746001,724073,709619,662437,637311,600987,553999,520539,475653,426417,390040,343965,1443844,145197078
2006,2065819,2029583,2037699,2026575,2028196,2067621,1989878,1966492,1970668,1994856,2108693,2121524,2148879,2186207,2205891,2260192,2315411,2231279,2212557,2190977,2184969,2191406,2132034,2150367,2138575,2139011,2095497,2004824,1948157,1908100,1908207,1920967,1890125,1928913,2025038,2148987,2196017,2059996,2020763,2026022,2081774,2235552,2257544,2246886,2242649,2255226,2322962,2223663,2216534,2191446,2089893,2125890,2010094,1949539,1889337,1816409,1830564,1746603,1728992,1801227,1326336,1335279,1303566,1340312,1168771,1077812,1042044,986584,953381,884178,848416,843344,755357,743108,718165,689385,686620,629385,605767,566741,515325,487526,436936,392892,351889,1518390,146647265
2007,2120816,2044119,2031170,2045144,2044444,2038482,2064421,2001256,1975219,1994550,2082772,2101341,2147007,2154619,2185221,2236697,2286631,2329969,2259498,2223695,2175195,2184771,2175374,2125328,2147168,2150579,2111196,2105989,2007290,1938385,1965174,1869108,1954635,1890360,1932154,2042845,2142266,2185701,2062939,2027301,2021075,2090954,2233912,2258746,2228489,2233025,2266159,2326976,2210559,2220829,2170086,2105021,2107225,2014300,1947797,1859281,1824531,1814344,1736443,1710700,1766043,1334516,1322109,1294016,1317780,1155119,1061969,1028624,968187,931531,856729,836079,815065,734155,715467,683039,668782,652493,599072,571753,527247,483736,448157,403576,355093,1593236,148064854
2008,2109846,2095154,2046268,2039937,2065739,2056164,2034499,2077462,2010918,2002071,2094239,2072499,2128173,2151552,2151718,2217764,2263348,2299512,2357770,2267338,2203034,2176554,2170281,2169035,2122142,2161269,2118708,2124164,2109285,1995710,2005304,1918551,1906803,1954630,1893638,1951453,2036234,2131773,2189534,2070660,2021855,2031178,2089575,2236079,2238412,2218446,2245998,2271170,2312020,2216356,2197224,2189639,2084700,2113819,2013539,1913592,1870156,1807079,1804202,1717301,1674280,1783203,1321417,1313243,1270827,1303557,1138633,1048799,1009620,945830,901774,845857,807647,792997,706721,679687,664284,635582,621852,565841,531699,496116,444700,415006,364892,1662814,149489951
2009,2044418,2080878,2097732,2056282,2062779,2078709,2051558,2048522,2087842,2041124,2113518,2080465,2100432,2131163,2146254,2185191,2243808,2273583,2326121,2359536,2242042,2201022,2156791,2161622,2163232,2136055,2123441,2131764,2126324,2093773,2071064,1950109,1961054,1905203,1957125,1913685,1943059,2024753,2136185,2197945,2063870,2032646,2029246,2091675,2213137,2227071,2232877,2251625,2254796,2319302,2190333,2220328,2166314,2092799,2113789,1974783,1927719,1851260,1797118,1783506,1677738,1694484,1767422,1313400,1288629,1257340,1285834,1125678,1029534,986113,914700,892048,816692,786497,763506,670445,662929,631391,606615,587904,526176,501564,456484,412912,375715,1735347,150807454
