,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,total
2000,3855956,3798691,3800144,3821118,3902384,3967834,4004335,4091467,4164871,4235345,4318540,4151953,4084732,4034618,4047853,4064678,3983291,4048379,4079606,4119001,4101286,3893853,3771190,3722452,3627886,3747738,3644037,3747633,3947343,4193512,4297742,4062757,3999268,4019117,4145350,4446557,4528984,4523611,4547235,4604465,4696305,4513298,4522455,4476856,4309077,4335271,4155176,4025331,3898395,3805354,3800059,3663455,3637919,3816136,2861878,2854393,2817330,2913690,2580483,2400041,2337902,2230218,2190359,2069449,2035201,2039337,1876784,1882892,1867764,1857132,1884298,1788317,1781935,1735378,1670100,1649707,1568457,1472736,1417670,1330049,1229253,1066141,1002304,884002,802840,4262472,282162411
2001,4012658,3855407,3800096,3802710,3827346,3910033,3972508,4012049,4099542,4179230,4277249,4344913,4183955,4113191,4059370,4083878,4108304,4028736,4102851,4132515,4156725,4133311,3919316,3798554,3749380,3659719,3768152,3668700,3766129,3956647,4218260,4302689,4082902,4014912,4033412,4161140,4457678,4534648,4529329,4553123,4606601,4700471,4514435,4523433,4470894,4301955,4331582,4152347,4018921,3894178,3796146,3796980,3654405,3631014,3808740,2851092,2846838,2805407,2900132,2565506,2380300,2323707,2213270,2172024,2047019,2012270,2013441,1850485,1852792,1833245,1817859,1844676,1743767,1733630,1682014,1610892,1589103,1503097,1405933,1346388,1254832,1154138,993071,927192,808972,4312494,284968955
2002,3951461,4004674,3856114,3804336,3812607,3837187,3913054,3982360,4020970,4118846,4243816,4295720,4380351,4209025,4132509,4097876,4126961,4148590,4084316,4152627,4158896,4182678,4145736,3936927,3819528,3779169,3669915,3791713,3682001,3768542,3994164,4210913,4330977,4095531,4026721,4050190,4168398,4459389,4538848,4534393,4551912,4610846,4699196,4515522,4511955,4461379,4301101,4330110,4143330,4016368,3881009,3797199,3785188,3650409,3626101,3788111,2846712,2833628,2792832,2881784,2540735,2370358,2306156,2195850,2147166,2025379,1986541,1986526,1821142,1818893,1792760,1782107,1797946,1697450,1679791,1620812,1554475,1522890,1436185,1336099,1269310,1180698,1075053,919945,849397,4368808,287625193
2003,3975871,3936139,4002836,3860727,3816873,3823568,3837761,3924182,3991075,4044265,4205042,4254047,4332987,4401393,4221884,4172654,4139141,4160313,4201835,4123223,4156877,4167554,4175294,4147777,3944186,3842468,3771710,3688646,3794838,3673923,3813536,3973726,4245067,4337299,4102582,4042650,4051962,4165007,4462051,4542489,4529389,4556844,4606465,4699388,4497961,4499971,4462427,4300483,4317939,4141856,3998812,3886144,3782009,3783390,3646923,3601691,3785668,2831596,2821608,2773994,2849408,2534959,2352131,2289143,2168747,2125962,1999916,1961151,1955990,1787777,1777336,1760292,1736351,1751589,1644551,1617308,1567629,1489790,1456995,1366120,1259724,1196760,1100969,997727,843416,4466176,290107933
2004,4014258,3953063,3933735,4008220,3876609,3829607,3822089,3850646,3933161,4018734,4151951,4207721,4293550,4350199,4408259,4264863,4213762,4167308,4214061,4242558,4131771,4180191,4173077,4192674,4167847,3981519,3838225,3801676,3697495,3788140,3737940,3790984,4023788,4257394,4349395,4127056,4048580,4051890,4174027,4473096,4540929,4540376,4555019,4610120,4679182,4486566,4506067,4465196,4287486,4319947,4121104,4010062,3868188,3782872,3782442,3618001,3603856,3763702,2819754,2801863,2739059,2848602,2515357,2335553,2259557,2148431,2098650,1975087,1930847,1920414,1744903,1747347,1713793,1691931,1696130,1581121,1566753,1501866,1425682,1385977,1286733,1189534,1115106,1023151,913980,4545883,292805298
2005,4004393,3987032,3952632,3943215,4030128,3893128,3828153,3838840,3861877,3967069,4150122,4149228,4251162,4308851,4353216,4456969,4308145,4239509,4225126,4256465,4241197,4150658,4176096,4183656,4208348,4206096,3966722,3870040,3805526,3686326,3866581,3705594,3848038,4035045,4268679,4377057,4130501,4044933,4060608,4185554,4470383,4553968,4537278,4559728,4585528,4666734,4496805,4511695,4449860,4292077,4295348,4138594,3989065,3871906,3783820,3748247,3625240,3582008,3748661,2799064,2763609,2745139,2827064,2498812,2303653,2240858,2121740,2074635,1945279,1896115,1873726,1718367,1700960,1671512,1638505,1629763,1535359,1501643,1439475,1357369,1305661,1218283,1109756,1038431,939062,4693299,295516599
2006,4041738,3972124,3988119,3966022,3970880,4050582,3891329,3848758,3852265,3901754,4121105,4141970,4196880,4264733,4308450,4406515,4502997,4331493,4301050,4265654,4248095,4258790,4141532,4186427,4201291,4254643,4186325,4004498,3874154,3790391,3779051,3824265,3772538,3860165,4049149,4302604,4380502,4126573,4056686,4074868,4184594,4488189,4552280,4544742,4532763,4573546,4682144,4506142,4495342,4458112,4264904,4320192,4114856,3996095,3874826,3745012,3760899,3601973,3568659,3720317,2757092,2776869,2725651,2810202,2463439,2286008,2213751,2098690,2044245,1910507,1848556,1848947,1672443,1660842,1619038,1573506,1587027,1472328,1441641,1372532,1278890,1239927,1138135,1036784,954381,4865929,298379912
2007,4147997,4002215,3973479,4004011,3998260,3993489,4046402,3914743,3863089,3896888,4075718,4106492,4192002,4207326,4259504,4364495,4452250,4521045,4394638,4335388,4242404,4257371,4236043,4143940,4198241,4245572,4222850,4224395,3999799,3850082,3894527,3724612,3899463,3780927,3871236,4083733,4302578,4370533,4136991,4070056,4071341,4202260,4485432,4560505,4512801,4519792,4591932,4694196,4487653,4506188,4426479,4294933,4292620,4124978,4001168,3829701,3761384,3734883,3588953,3539851,3659454,2775802,2757918,2711325,2769163,2445756,2257671,2191327,2068095,2007386,1860716,1826784,1798955,1633722,1608315,1553097,1535224,1521903,1414814,1375325,1292775,1216593,1158822,1065220,953666,5039545,301231207
2008,4132735,4100756,4004146,3992320,4041170,4024297,3988117,4073291,3930544,3913353,4093680,4055388,4159477,4200016,4198094,4318982,4411176,4467060,4588123,4425539,4302988,4251950,4232792,4237432,4155450,4246210,4206583,4265165,4215620,3969090,3970191,3828094,3807761,3907253,3791506,3908041,4083819,4291673,4382157,4151773,4065710,4090091,4199463,4495218,4524541,4499251,4541484,4606123,4672955,4501160,4471128,4464006,4264599,4306809,4132932,3949524,3850704,3733201,3722427,3558712,3476545,3694987,2757325,2744863,2668775,2751913,2416007,2235669,2160024,2030734,1953328,1841560,1776463,1758650,1581331,1541027,1518327,1472006,1464084,1350299,1294601,1232307,1136851,1086404,980196,5195840,304093966
2009,4003587,4078797,4103002,4025675,4033457,4070265,4018200,4017024,4089946,3987064,4133090,4066605,4110576,4164413,4185880,4259907,4365338,4421341,4534634,4611590,4383628,4307414,4217667,4230115,4245298,4204602,4197922,4250014,4250613,4175077,4104133,3890200,3921281,3813001,3916499,3829432,3905615,4071181,4304006,4397562,4145183,4085265,4085849,4209233,4454485,4509265,4523596,4557336,4582655,4689393,4462192,4514833,4429228,4281465,4317125,4074019,3975863,3819855,3721219,3689647,3489302,3517588,3673134,2745716,2699257,2653345,2719454,2394376,2204229,2120973,1974076,1936308,1790136,1737897,1702305,1513301,1510000,1455744,1417539,1398480,1270444,1236769,1152248,1067638,1000612,5367301,306771529
