,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,total
2010,3951430,3957730,4090621,4111688,4077346,4064521,4072904,4042990,4025501,4125312,4186957,4115415,4113230,4119537,4145467,4230851,4313036,4376130,4490335,4570747,4567951,4387413,4286330,4216524,4243080,4288870,4160319,4236631,4247132,4209925,4303827,4042153,3967147,3933076,3821734,3947854,3829703,3896217,4079655,4323834,4386825,4162937,4082210,4093285,4177952,4438000,4529194,4534994,4534165,4598583,4645689,4498526,4480160,4439014,4288067,4258545,4092793,3946199,3802133,3693990,3616436,3519888,3494867,3651970,2705897,2678332,2621200,2693584,2359713,2167750,2062466,1953486,1883725,1750237,1685936,1631850,1481687,1449156,1402199,1354926,1319723,1212519,1158188,1081226,986814,914842,821428,721149,636650,546248,448417,344555,288965,219192,170904,131195,97259,68966,47086,32214,54437,309321666
2011,3963092,3966225,3970654,4101644,4121488,4087054,4074531,4082821,4052773,4035319,4135275,4197127,4125724,4123811,4130861,4158280,4246693,4334152,4401220,4518136,4598087,4594046,4412989,4312071,4242005,4267715,4311460,4181235,4255887,4264231,4224904,4316834,4053130,3977087,3941571,3829296,3953574,3834160,3899275,4081727,4323492,4384667,4160003,4078457,4088648,4171392,4429559,4518765,4522525,4519850,4582117,4627614,4478988,4458856,4416050,4263777,4233221,4066454,3918867,3773861,3664938,3586380,3487750,3459686,3612778,2674388,2644949,2585082,2652967,2320909,2128978,2022302,1911768,1839617,1705176,1638392,1581264,1430846,1394624,1343872,1292555,1252415,1143567,1084658,1004493,908494,834114,740788,642674,559656,473596,382497,289188,238035,176717,135101,101295,73267,50654,33604,57513,311556874
2012,3926570,3977549,3978925,3981531,4111490,4131049,4096631,4084175,4092559,4062726,4045445,4145724,4207661,4136128,4134787,4143157,4173509,4267048,4358208,4427292,4546283,4629444,4625206,4443353,4341674,4271101,4295141,4336875,4204349,4276982,4282588,4240764,4330633,4064859,3987707,3950829,3836855,3959826,3839208,3902771,4083481,4323211,4382863,4157098,4074786,4083445,4164199,4420397,4507426,4509218,4504724,4564517,4607874,4457963,4436389,4391667,4238325,4206336,4038875,3890472,3744191,3634139,3554183,3453473,3422763,3571867,2641359,2609571,2546536,2610071,2280469,2089040,1980767,1868543,1793992,1658787,1589317,1529111,1378596,1338588,1283870,1228453,1183563,1073199,1010027,927337,830572,754700,662480,567505,486948,406038,322223,239592,193338,140263,105060,76840,54192,36514,61035,313830990
2013,3931258,3942698,3991740,3991017,3992502,4121876,4141126,4106756,4094513,4103052,4072970,4055819,4156241,4218277,4147583,4147812,4159227,4194235,4291867,4384315,4452516,4573290,4659674,4655026,4471728,4368721,4296990,4319792,4358696,4224848,4295820,4298346,4254484,4342195,4074558,3996281,3957490,3842637,3964275,3842610,3904444,4083858,4321505,4379162,4152699,4068840,4076067,4155470,4409255,4494101,4493641,4486720,4544358,4586306,4435170,4411473,4364534,4210457,4176885,4008522,3859173,3711821,3600431,3518772,3415735,3382530,3527156,2605415,2571021,2504738,2563695,2236694,2045286,1935198,1821131,1744077,1607991,1535682,1472207,1321640,1277561,1218793,1159110,1109098,997485,930550,846127,749538,673270,583346,492709,415817,341169,265470,193974,153120,108285,79369,56508,38797,64898,315993715
2014,3954787,3948891,3958711,4005928,4004032,4004576,4133372,4152666,4118349,4106068,4114558,4084457,4067187,4168095,4231353,4162828,4165925,4181940,4221344,4320789,4410910,4480266,4604115,4692295,4686353,4501246,4397165,4324796,4345247,4382190,4246947,4314451,4314207,4268221,4353984,4084165,4004418,3964439,3848856,3969337,3845825,3905797,4083824,4319265,4375450,4147532,4062255,4068585,4145797,4397069,4479191,4476281,4467724,4523245,4563253,4410443,4384452,4335908,4180851,4145881,3976405,3825701,3677408,3564597,3481789,3376670,3340649,3480104,2567511,2530460,2461426,2516392,2191642,2000102,1888141,1772432,1692960,1555971,1480735,1414010,1263540,1215634,1152926,1089054,1034418,922398,852675,767609,672433,596951,510281,424834,352528,284642,217013,155992,120427,82948,59546,41277,70685,318301008
2015,3983981,3973133,3966321,3974351,4020292,4017589,4017388,4145872,4165033,4130887,4118721,4126769,4096602,4080092,4182193,4247757,4181741,4189329,4210553,4251640,4349271,4440639,4513472,4638825,4726443,4719543,4533612,4428666,4354559,4372818,4407648,4270096,4334801,4332152,4284303,4367425,4095075,4013981,3972535,3855684,3974173,3849567,3907838,4083850,4317474,4371112,4141749,4055387,4059893,4135111,4383161,4462685,4458166,4447639,4500628,4538441,4383779,4355834,4305438,4149449,4112746,3941754,3790011,3640427,3526289,3441926,3334811,3295666,3429944,2526801,2486399,2414320,2463978,2141464,1949879,1836120,1718677,1636506,1498661,1420466,1350324,1200209,1148098,1081183,1013458,954664,843182,771610,687017,594305,520698,438523,359346,292623,232203,173006,122315,92078,61585,43276,75449,320635163
2016,3954773,4002903,3991349,3982984,3989750,4035033,4031568,4030888,4158848,4177895,4144184,4131742,4139869,4110551,4094975,4199089,4267129,4205883,4218119,4239050,4278076,4376754,4472022,4546725,4671030,4759050,4750806,4564270,4457571,4381396,4397578,4429613,4290114,4353183,4348424,4297636,4377814,4103497,4021576,3978876,3860351,3977416,3851777,3907854,4082421,4313188,4365052,4134775,4046714,4049463,4122087,4367488,4444936,4438043,4425283,4475490,4511556,4355282,4325310,4272724,4115514,4076904,3904795,3751734,3600490,3485374,3399710,3290367,3248029,3376173,2483369,2440774,2365831,2409821,2089859,1898266,1782609,1663500,1578695,1440053,1358823,1285298,1135564,1079467,1008948,937939,875790,765842,693336,610099,520782,450056,373146,300773,240128,187214,136011,94732,69464,45030,81199,322941311
2017,3893990,3972711,4020045,4006946,3997280,4003452,4048018,4044139,4042924,4170813,4190286,4156294,4143944,4152873,4124397,4110669,4217009,4289556,4232502,4244861,4262267,4301347,4403799,4500396,4574512,4698330,4785819,4776789,4588278,4479720,4401684,4415784,4445710,4304958,4366340,4358474,4304733,4383439,4108234,4025425,3980852,3861830,3977681,3850531,3905385,4077414,4305935,4356263,4124824,4035771,4036095,4106675,4349788,4424299,4415276,4399955,4448203,4482211,4324223,4291724,4236920,4078580,4038225,3864653,3710075,3557852,3441715,3354577,3242657,3196430,3318392,2436899,2391538,2313358,2351361,2033951,1842454,1725054,1604180,1516532,1377005,1292742,1215783,1066792,1006959,933197,859615,795017,687486,614987,534178,449297,382476,311689,246766,192745,147449,104068,71571,50969,85663,324985539
2018,3815343,3908830,3987032,4033038,4018719,4008443,4014057,4058370,4054236,4053179,4181603,4200646,4166696,4155076,4164608,4137711,4125819,4235739,4311728,4253664,4262078,4279527,4321222,4424783,4520476,4593783,4717156,4803933,4793010,4603079,4492860,4413112,4425955,4454613,4312609,4371450,4361404,4306366,4384202,4108600,4024106,3978956,3859261,3973483,3845646,3898596,4068551,4295362,4344044,4111972,4021129,4019585,4088748,4328970,4400749,4389077,4371950,4417813,4449262,4289580,4254388,4197441,4038371,3995629,3820738,3664838,3511843,3394794,3305114,3190630,3141469,3256743,2387218,2338843,2257691,2288885,1974261,1783292,1664122,1541515,1450820,1310691,1223611,1143041,995618,932507,856172,781145,714808,610666,539372,461887,382414,320359,256353,198913,151823,113716,77943,53184,93038,326687501
2019,3783052,3829599,3922044,3998665,4043323,4028281,4017227,4022319,4066194,4061874,4060940,4189261,4208387,4175221,4164459,4175459,4150420,4142425,4255827,4330439,4269683,4278323,4298772,4341644,4444518,4539058,4611220,4733869,4818725,4806144,4614384,4502311,4421505,4432973,4460132,4315866,4372444,4361286,4305576,4382349,4105313,4020254,3974741,3854040,3967275,3837909,3889372,4058038,4282657,4329775,4096572,4004343,4001782,4068851,4305603,4374565,4361016,4342385,4385570,4413855,4252663,4215172,4156645,3996088,3950578,3774597,3618069,3464437,3345475,3252423,3136704,3083083,3191048,2334433,2283164,2198286,2222392,1911261,1720817,1599909,1475278,1381641,1241341,1151190,1067757,922467,856646,778923,703078,635982,536447,467172,394067,320785,264277,207086,157463,116969,86150,57124,100322,328239523
